Country;session_id;chat_uuid;Customer's Query;Chatbot's answer;is session direct to live agent;is_session_noanswer;is_session_last_recommend_noclick;is_session_click_to_live_agent;is_session_unsatisfied;last Customer's Query before transferring to live agent
Country B;7515baba3cc54de5806a4376c236e49b;ab6ea28017b64bac807eacf2bd4aac40;lazadawallet_paymentissues;\N;N;N;N;Y;Y;Why I cannot make payment for my order?
Country B;f43ea76b6aab4f0b93346e27eff9e58d;bb4c9ab3165243989ad8450bdad86b29;326200425656356;\N;N;N;N;Y;Y;\N
Country B;0b1e14e48d954482ac91fadb6a64a84a;4f84598559404466b172f3b51b538763;i cannot choose my payment method;\N;N;N;N;Y;Y;\N
Country B;829b363129d0436f83b4108b238a9cc7;33a9f0ead3674fca99ed72d539d84b4c;327197834406972;\N;N;N;N;N;Y;live agent
Country B;79aefd145efa489d9c77ed2df2b0bf6e;94a900c258254dab8ebc823f7e05b4ef;"{""url"":""https://lzd-new-im-my.slatic.net/o1cn011xflinols1iuziw000000_!!6000000006471-lazada-im-my.jpg""}";\N;N;N;N;N;Y;\N
Country B;2947891156c64d63a4e7535d5a59950b;be9aa0a9d4c44cba9cb6f3601d28da4a;326820295405667;\N;Y;N;N;N;Y;Live chat 
Country B;1773af4e629c43d6ad99c3b4dd2c37e8;ffe6cb203af6454b94cd97e7c2f2ee47;323547424574481;\N;N;N;N;N;Y;\N
Country B;93755f2506264d2ca113fecc6faf6a9d;be4e82e47a36498b8c52b630931949a5;326186957309525;\N;N;N;N;Y;Y;\N
Country B;79aefd145efa489d9c77ed2df2b0bf6e;c5517044de3d4f8b9eb0057c33604755;328267951305880;\N;N;N;N;N;Y;\N
Country B;e313e98d8fef4af592d2d01b22c0c943;4d91336e1b82455cb420040d512d8748;hi! happy birthday to lazada. thanks a lot for the lazada apps ~;\N;N;N;N;Y;Y;\N
Country B;6efba687d30b468191e3f900b8cccdce;16b7a62478074a618647188445670545;"{""url"":""https://lzd-new-im-my.slatic.net/o1cn011ksnypsqdeohdzq000000_!!6000000001220-lazada-im-my.jpg""}";\N;N;N;N;N;Y;\N
Country B;6efba687d30b468191e3f900b8cccdce;942ce318464d46b59e7afd688c1d7373;"{""url"":""https://lzd-new-im-my.slatic.net/o1cn011yxuc7g9nvosn46000000_!!6000000006646-lazada-im-my.jpg""}";\N;N;N;N;N;Y;\N
Country B;6efba687d30b468191e3f900b8cccdce;fc74a883650145dabbb432a1a4adeb42;"{""url"":""https://lzd-new-im-my.slatic.net/o1cn011uuj1qxxk0op4jm000000_!!6000000002577-lazada-im-my.jpg""}";\N;N;N;N;N;Y;\N
Country B;6efba687d30b468191e3f900b8cccdce;5463cb73eea74ea9b32dc5ba8913d303;"{""url"":""https://lzd-new-im-my.slatic.net/o1cn011io6gztcrnjkkge000000_!!6000000000939-lazada-im-my.jpg""}";\N;N;N;N;N;Y;\N
